postcode,dry,dry,dry,dry,mix,mix,mix,mix,fresh,fresh,fresh,fresh
18190,95,110,200,365,150,170,190,190,210,260,340,380
18120,95,110,200,365,150,170,190,190,210,260,340,380
18160,95,110,200,365,150,170,190,190,210,260,340,380
18180,95,110,200,365,150,170,190,190,210,260,340,380
30130,95,110,200,365,150,170,190,190,210,260,340,380
18240,95,110,200,365,150,170,190,190,210,260,340,380
20000,95,110,200,365,150,170,190,190,210,260,340,380
20130,95,110,200,365,150,170,190,190,210,260,340,380
20170,95,110,200,365,150,170,190,190,210,260,340,380
20220,95,110,200,365,150,170,190,190,210,260,340,380
20190,95,110,200,365,150,170,190,190,210,260,340,380
20150,95,110,200,365,150,170,190,190,210,260,340,380
20160,95,110,200,365,150,170,190,190,210,260,340,380
20140,95,110,200,365,150,170,190,190,210,260,340,380
20110,95,110,200,365,150,170,190,190,210,260,340,380
20230,95,110,200,365,150,170,190,190,210,260,340,380
20120,95,110,200,365,150,170,190,190,210,260,340,380
20180,95,110,200,365,150,170,190,190,210,260,340,380
20250,95,110,200,365,150,170,190,190,210,260,340,380
20270,95,110,200,365,150,170,190,190,210,260,340,380
20240,95,110,200,365,150,170,190,190,210,260,340,380
21000,95,110,200,365,150,170,190,190,210,260,340,380
21160,95,110,200,365,150,170,190,190,210,260,340,380
21100,95,110,200,365,150,170,190,190,210,260,340,380
21150,95,110,200,365,150,170,190,190,210,260,340,380
21130,95,110,200,365,150,170,190,190,210,260,340,380
21110,95,110,200,365,150,170,190,190,210,260,340,380
21190,95,110,200,365,150,170,190,190,210,260,340,380
22160,95,110,200,365,150,170,190,190,210,260,340,380
21170,95,110,200,365,150,170,190,190,210,260,340,380
21210,95,110,200,365,150,170,190,190,210,260,340,380
21120,95,110,200,365,150,170,190,190,210,260,340,380
21140,95,110,200,365,150,170,190,190,210,260,340,380
21180,95,110,200,365,150,170,190,190,210,260,340,380
22000,95,110,200,365,150,170,190,190,210,260,340,380
22110,95,110,200,365,150,170,190,190,210,260,340,380
22150,95,110,200,365,150,170,190,190,210,260,340,380
22120,95,110,200,365,150,170,190,190,210,260,340,380
22170,95,110,200,365,150,170,190,190,210,260,340,380
22140,95,110,200,365,150,170,190,190,210,260,340,380
22130,95,110,200,365,150,170,190,190,210,260,340,380
22190,95,110,200,365,150,170,190,190,210,260,340,380
22180,95,110,200,365,150,170,190,190,210,260,340,380
22210,95,110,200,365,150,170,190,190,210,260,340,380
23000,95,110,200,365,150,170,190,190,210,260,340,380
23110,95,110,200,365,150,170,190,190,210,260,340,380
23130,95,110,200,365,150,170,190,190,210,260,340,380
23150,95,110,200,365,150,170,190,190,210,260,340,380
23140,95,110,200,365,150,170,190,190,210,260,340,380
23120,95,110,200,365,150,170,190,190,210,260,340,380
23170,95,110,200,365,150,170,190,190,210,260,340,380
24000,95,110,200,365,150,170,190,190,210,260,340,380
24110,95,110,200,365,150,170,190,190,210,260,340,380
24150,95,110,200,365,150,170,190,190,210,260,340,380
24170,95,110,200,365,150,170,190,190,210,260,340,380
24130,95,110,200,365,150,170,190,190,210,260,340,380
24180,95,110,200,365,150,170,190,190,210,260,340,380
24140,95,110,200,365,150,170,190,190,210,260,340,380
24120,95,110,200,365,150,170,190,190,210,260,340,380
24160,95,110,200,365,150,170,190,190,210,260,340,380
24190,95,110,200,365,150,170,190,190,210,260,340,380
25000,95,110,200,365,150,170,190,190,210,260,340,380
25230,95,110,200,365,150,170,190,190,210,260,340,380
25110,95,110,200,365,150,170,190,190,210,260,340,380
25240,95,110,200,365,150,170,190,190,210,260,340,380
25220,95,110,200,365,150,170,190,190,210,260,340,380
25150,95,110,200,365,150,170,190,190,210,260,340,380
25130,95,110,200,365,150,170,190,190,210,260,340,380
25140,95,110,200,365,150,170,190,190,210,260,340,380
25190,95,110,200,365,150,170,190,190,210,260,340,380
26000,95,110,200,365,150,170,190,190,210,260,340,380
26130,95,110,200,365,150,170,190,190,210,260,340,380
26110,95,110,200,365,150,170,190,190,210,260,340,380
26120,95,110,200,365,150,170,190,190,210,260,340,380
27000,95,110,200,365,150,170,190,190,210,260,340,380
27260,95,110,200,365,150,170,190,190,210,260,340,380
27180,95,110,200,365,150,170,190,190,210,260,340,380
27210,95,110,200,365,150,170,190,190,210,260,340,380
27160,95,110,200,365,150,170,190,190,210,260,340,380
27120,95,110,200,365,150,170,190,190,210,260,340,380
27250,95,110,200,365,150,170,190,190,210,260,340,380
30000,95,110,200,365,220,240,260,260,350,390,450,530
30310,95,110,200,365,220,240,260,260,350,390,450,530
30280,95,110,200,365,220,240,260,260,350,390,450,530
30250,95,110,200,365,220,240,260,260,350,390,450,530
30330,95,110,200,365,220,240,260,260,350,390,450,530
30260,95,110,200,365,220,240,260,260,350,390,450,530
30350,95,110,200,365,220,240,260,260,350,390,450,530
30230,95,110,200,365,220,240,260,260,350,390,450,530
30190,95,110,200,365,220,240,260,260,350,390,450,530
30210,95,110,200,365,220,240,260,260,350,390,450,530
36220,95,110,200,365,220,240,260,260,350,390,450,530
30220,95,110,200,365,220,240,260,260,350,390,450,530
30160,95,110,200,365,220,240,260,260,350,390,450,530
30420,95,110,200,365,220,240,260,260,350,390,450,530
30290,95,110,200,365,220,240,260,260,350,390,450,530
30120,95,110,200,365,220,240,260,260,350,390,450,530
30180,95,110,200,365,220,240,260,260,350,390,450,530
30150,95,110,200,365,220,240,260,260,350,390,450,530
30110,95,110,200,365,220,240,260,260,350,390,450,530
30240,95,110,200,365,220,240,260,260,350,390,450,530
30270,95,110,200,365,220,240,260,260,350,390,450,530
30170,95,110,200,365,220,240,260,260,350,390,450,530
30380,95,110,200,365,220,240,260,260,350,390,450,530
30140,95,110,200,365,220,240,260,260,350,390,450,530
30340,95,110,200,365,220,240,260,260,350,390,450,530
30320,95,110,200,365,220,240,260,260,350,390,450,530
30410,95,110,200,365,220,240,260,260,350,390,450,530
30440,95,110,200,365,220,240,260,260,350,390,450,530
30360,95,110,200,365,220,240,260,260,350,390,450,530
30370,95,110,200,365,220,240,260,260,350,390,450,530
30430,95,110,200,365,220,240,260,260,350,390,450,530
31000,95,110,200,365,220,240,260,260,350,390,450,530
31190,95,110,200,365,220,240,260,260,350,390,450,530
31160,95,110,200,365,220,240,260,260,350,390,450,530
31110,95,110,200,365,220,240,260,260,350,390,450,530
31210,95,110,200,365,220,240,260,260,350,390,450,530
31170,95,110,200,365,220,240,260,260,350,390,450,530
31140,95,110,200,365,220,240,260,260,350,390,450,530
31180,95,110,200,365,220,240,260,260,350,390,450,530
31120,95,110,200,365,220,240,260,260,350,390,450,530
31130,95,110,200,365,220,240,260,260,350,390,450,530
31150,95,110,200,365,220,240,260,260,350,390,450,530
31220,95,110,200,365,220,240,260,260,350,390,450,530
31230,95,110,200,365,220,240,260,260,350,390,450,530
31240,95,110,200,365,220,240,260,260,350,390,450,530
31250,95,110,200,365,220,240,260,260,350,390,450,530
31260,95,110,200,365,220,240,260,260,350,390,450,530
32000,95,110,200,365,220,240,260,260,350,390,450,530
32190,95,110,200,365,220,240,260,260,350,390,450,530
32120,95,110,200,365,220,240,260,260,350,390,450,530
32180,95,110,200,365,220,240,260,260,350,390,450,530
32140,95,110,200,365,220,240,260,260,350,390,450,530
32210,95,110,200,365,220,240,260,260,350,390,450,530
32130,95,110,200,365,220,240,260,260,350,390,450,530
32160,95,110,200,365,220,240,260,260,350,390,450,530
32110,95,110,200,365,220,240,260,260,350,390,450,530
32150,95,110,200,365,220,240,260,260,350,390,450,530
32220,95,110,200,365,220,240,260,260,350,390,450,530
32170,95,110,200,365,220,240,260,260,350,390,450,530
32230,95,110,200,365,220,240,260,260,350,390,450,530
33000,95,110,200,365,220,240,260,260,350,390,450,530
33190,95,110,200,365,220,240,260,260,350,390,450,530
33130,95,110,200,365,220,240,260,260,350,390,450,530
33110,95,110,200,365,220,240,260,260,350,390,450,530
33140,95,110,200,365,220,240,260,260,350,390,450,530
33180,95,110,200,365,220,240,260,260,350,390,450,530
33170,95,110,200,365,220,240,260,260,350,390,450,530
33150,95,110,200,365,220,240,260,260,350,390,450,530
33160,95,110,200,365,220,240,260,260,350,390,450,530
33120,95,110,200,365,220,240,260,260,350,390,450,530
33220,95,110,200,365,220,240,260,260,350,390,450,530
33210,95,110,200,365,220,240,260,260,350,390,450,530
33250,95,110,200,365,220,240,260,260,350,390,450,530
33240,95,110,200,365,220,240,260,260,350,390,450,530
33270,95,110,200,365,220,240,260,260,350,390,450,530
33230,95,110,200,365,220,240,260,260,350,390,450,530
34000,95,110,200,365,220,240,260,260,350,390,450,530
34250,95,110,200,365,220,240,260,260,350,390,450,530
34220,95,110,200,365,220,240,260,260,350,390,450,530
34150,95,110,200,365,220,240,260,260,350,390,450,530
34320,95,110,200,365,220,240,260,260,350,390,450,530
34170,95,110,200,365,220,240,260,260,350,390,450,530
34160,95,110,200,365,220,240,260,260,350,390,450,530
34280,95,110,200,365,220,240,260,260,350,390,450,530
34260,95,110,200,365,220,240,260,260,350,390,450,530
34230,95,110,200,365,220,240,260,260,350,390,450,530
34130,95,110,200,365,220,240,260,260,350,390,450,530
34270,95,110,200,365,220,240,260,260,350,390,450,530
34140,95,110,200,365,220,240,260,260,350,390,450,530
34190,95,110,200,365,220,240,260,260,350,390,450,530
34310,95,110,200,365,220,240,260,260,350,390,450,530
34110,95,110,200,365,220,240,260,260,350,390,450,530
34330,95,110,200,365,220,240,260,260,350,390,450,530
34340,95,110,200,365,220,240,260,260,350,390,450,530
34360,95,110,200,365,220,240,260,260,350,390,450,530
34350,95,110,200,365,220,240,260,260,350,390,450,530
35000,95,110,200,365,220,240,260,260,350,390,450,530
35170,95,110,200,365,220,240,260,260,350,390,450,530
35140,95,110,200,365,220,240,260,260,350,390,450,530
35110,95,110,200,365,220,240,260,260,350,390,450,530
35180,95,110,200,365,220,240,260,260,350,390,450,530
35150,95,110,200,365,220,240,260,260,350,390,450,530
35130,95,110,200,365,220,240,260,260,350,390,450,530
35160,95,110,200,365,220,240,260,260,350,390,450,530
35120,95,110,200,365,220,240,260,260,350,390,450,530
36000,95,110,200,365,220,240,260,260,350,390,450,530
36240,95,110,200,365,220,240,260,260,350,390,450,530
36170,95,110,200,365,220,240,260,260,350,390,450,530
36140,95,110,200,365,220,240,260,260,350,390,450,530
36120,95,110,200,365,220,240,260,260,350,390,450,530
36210,95,110,200,365,220,240,260,260,350,390,450,530
36130,95,110,200,365,220,240,260,260,350,390,450,530
36160,95,110,200,365,220,240,260,260,350,390,450,530
36250,95,110,200,365,220,240,260,260,350,390,450,530
36230,95,110,200,365,220,240,260,260,350,390,450,530
36110,95,110,200,365,220,240,260,260,350,390,450,530
36190,95,110,200,365,220,240,260,260,350,390,450,530
